condition,currency,category,year,make,model,location,s/n,reg,total_hours,national_origin,standard_price,hour,price,country
Used,USD,Single Engine Piston,2011,CIRRUS,SR20-G3,"Farmingdale (KFRG),
	                           NY
	                           USA",2081,N187PH,1740.0,United States,294900.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2011,CUBCRAFTERS,CC11-160 CARBON CUB SS,"Louisburg,
	                           NC
	                           USA",CC11-00168,N160TJ,175.0,United States,184900.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2015,CIRRUS,SR22-G5 TURBO,"Knoxville,
	                           TN
	                           USA",1119,N619MT,738.0,United States,609000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2016,BEECHCRAFT,G36 BONANZA,"Greensboro,
	                           NC
	                           USA",E-4100,N71RW,175.0,United States,699000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2016,BEECHCRAFT,G36 BONANZA,"Indianapolis,
	                           IN
	                           USA",Not Listed,N686AG,250.0,United States,749000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2016,CIRRUS,SR22T-G5 GTS,"Las Vegas,
	                           NV
	                           USA",1301,N702EC,996.0,United States,650000.0,upto 1000 hours,upto 1000000 hours,USA
New,USD,Private Jets,2016,VIPER AIRCRAFT,VIPERJET MK II,"Chehalis,
	                           WA
	                           USA",8,N886AK,50.0,United States,595000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2017,CESSNA,172S SKYHAWK SP,"Kapolei,
	                           HI
	                           USA",172S12058,N424PE,1118.0,United States,420000.0,upto 2000 hours,upto 500000 hours,USA
New,USD,Turbine Helicopters,2017,ROBINSON HELICOPTER,R66,"Laughlin,
	                           NV
	                           USA",767,N531DL,50.0,United States,1280000.0,upto 1000 hours,upto 2000000,USA
New,USD,Single Engine Piston,2018,AVIAT,HUSKY A-1C,"Boise,
	                           ID
	                           USA",3304,N304WY,230.0,United States,279900.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2018,BRM AERO,BRISTELL,"Salt Lake City,
	                           UT
	                           USA",379,N233PM,38.0,Czech Republic,185000.0,upto 1000 hours,upto 250000,Other
Used,USD,Single Engine Piston,2018,CIRRUS,SR22T-G6 GTS,"Plentywood,
	                           MT
	                           USA",1811,N11P,100.0,United States,889000.0,upto 1000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2018,CUBCRAFTERS,CARBON CUB FX3,"Mesa,
	                           AZ
	                           USA",CCX-2000-0009,N19FX,395.0,United States,304900.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1980,CESSNA,172N SKYHAWK,"New Orleans,
	                           LA
	                           USA",172297,N390DV,1871.0,United States,80000.0,upto 2000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1980,CESSNA,182RG SKYLANE,"Hawthorne,
	                           CA
	                           USA",18201385,N4696S,5317.0,United States,115000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1980,CESSNA,207 TURBO,"Jackson Hole,
	                           WY
	                           USA",207-00584,N307JH,10967.0,United States,249000.0,more than 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1980,CESSNA,P210N,"Warsaw,
	                           IN
	                           USA",P21000530,N117UM,4679.0,United States,249000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1980,MOONEY INTERNATIONAL CORP,M20J 201,"Coatesville,
	                           PA
	                           USA",24-0905,N3705H,2080.0,United States,125000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1980,MOONEY INTERNATIONAL CORP,M20K 231,"KS
	                           USA",25-0329,N231NS,5616.0,United States,99000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1981,BEECHCRAFT,A36 BONANZA 36,"Sturgis,
	                           MI
	                           USA",E-1766,N3736D,3902.0,United States,221900.0,upto 4000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1981,CESSNA,340A,"Calgary,
	                           AB
	                           CAN",Not Listed,C-GSPV,4510.0,United States,234000.0,upto 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1981,CESSNA,414A,"Nashua,
	                           NH
	                           USA",414A-0616,N379TW,5100.0,United States,349900.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Turboprops,1981,CESSNA,CONQUEST II,"Grants Pass,
	                           OR
	                           USA",441-0213,N716CC,10685.0,United States,995000.0,more than 10000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,1981,PIPER AIRCRAFT,SARATOGA,"Sturgis,
	                           MI
	                           USA",32-8106064,N8385Q,4033.0,United States,169900.0,upto 10000 hours,upto 250000,USA
Used,USD,Private Jets,1983,GULFSTREAM AIRSPACE,III,"Ft Lauderdale,
	                           FL
	                           USA",400,Not Listed,5700.0,United States,275000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1984,CESSNA,182RG SKYLANE,"IL
	                           USA",R18201990,N6347T,3890.0,United States,139000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1984,PIPER AIRCRAFT,MALIBU,"Branson,
	                           MO
	                           USA",46-8408061,N80ZZ,6880.0,United States,259000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1944,BEECHCRAFT,D17S STAGGERWING,"OR
	                           USA",6871,N248E,1691.0,United States,375000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1944,MESSERSCHMITT,BF-109G-14,DEU,462 707,D-FMGV,11.0,Germany,5355000.0,upto 1000 hours,more than 2000000,Other
Used,USD,Single Engine Piston,1944,NORTH AMERICAN AVIATION,TF51D,"Bremgarten,
	                           CA
	                           USA",44-73871,D-FTSI,377.0,United States,3995000.0,upto 1000 hours,more than 2000000,USA
Used,USD,Single Engine Piston,1945,SUPERMARINE,SPITFIRE MKXVIII,DEU,TP280,D-FSPT,185.0,Britain,2320500.0,upto 1000 hours,more than 2000000,Other
Used,USD,Single Engine Piston,1946,ERCOUPE,415-D,"Westbrook,
	                           CT
	                           USA",3706,N3084H,5651.0,United States,23900.0,upto 10000 hours,upto 100000,USA
New,USD,Single Engine Piston,1946,PIPER AIRCRAFT,J-3 CUB,"Roanoke,
	                           TX
	                           USA",17262,N70281,31.0,United States,85000.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1946,PIPER AIRCRAFT,L-4 CUB,"Fredericksburg,
	                           PA
	                           USA",Not Listed,N87910,2763.0,United States,52500.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1946,PIPER AIRCRAFT,PA-12 SUPER CRUISER,"Independence,
	                           IA
	                           USA",12-423,N7556H,3900.0,United States,35500.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1948,GRUMMAN,F8F-2 BEARCAT,Spokane,121752,N800H,1569.0,United States,3250000.0,upto 2000 hours,more than 2000000,USA
Used,USD,Single Engine Piston,1949,HAWKER,SEA FURY FB.MK 11,FRA,37733,F-AZXJ,240.0,Britain,1904000.0,upto 1000 hours,upto 2000000,Other
Used,USD,Single Engine Piston,1950,FIAT,G59,ITA,MM-53774,I-MRSV,240.0,ITALY,1249500.0,upto 1000 hours,upto 2000000,Other
Used,USD,Single Engine Piston,1950,PILATUS,P2-06,CHE,56,HB-RAR,2016.0,Switzerland,180000.0,upto 4000 hours,upto 250000,Other
Used,USD,Single Engine Piston,1951,NORTH AMERICAN AVIATION,HARVARD MKIV,"Rockford,
	                           IL
	                           USA",20218,N287AM,2505.0,United States,179000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1952,POLIKARPOV,PO-2,DEU,430,D-EEPO,152.0,Soviet Union,142800.0,upto 1000 hours,upto 250000,Other
Used,USD,Single Engine Piston,1956,BEECHCRAFT,G35 BONANZA,"Placerville,
	                           CA
	                           USA",D-4672,N4456D,5990.0,United States,35500.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1959,BEECHCRAFT,K35 BONANZA,"Columbus,
	                           OH
	                           USA",D-5877,N5379E,4875.0,United States,59500.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1959,PIPER AIRCRAFT,COMANCHE 250,"Chatham,
	                           MA
	                           USA",Not Listed,N6384P,5385.0,United States,38000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1964,PIPER AIRCRAFT,COMANCHE 400,"NY
	                           USA",Not Listed,Not Listed,3300.0,United States,96000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1965,BEECHCRAFT,S35 BONANZA,"KS
	                           USA",D-7901,N6019F,3651.0,United States,169000.0,upto 4000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1967,BEECHCRAFT,C55 BARON,"San Angelo,
	                           TX
	                           USA",Not Listed,N282JL,4325.0,United States,129000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1967,CESSNA,172/180 CONVERSION,"Soldotna,
	                           AK
	                           USA",R172-0118,N96890,2200.0,United States,79900.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1967,DEHAVILLAND,DHC-2,"Ranier,
	                           MN
	                           USA",1518,Not Listed,13192.0,Canada,479000.0,more than 10000 hours,upto 500000 hours,Other
Used,USD,Single Engine Piston,1967,PIPER AIRCRAFT,PAWNEE,"Immokalee,
	                           FL
	                           USA",25-4422,N4691Y,4862.0,United States,75000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1968,MOONEY INTERNATIONAL CORP,M20C,"Kennebunk,
	                           ME
	                           USA",Not Listed,Not Listed,4717.0,United States,35000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1968,PIPER AIRCRAFT,CHEROKEE 180,"Naples,
	                           FL
	                           USA",28-4607,N5305L,4200.0,United States,65000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1969,CESSNA,172K SKYHAWK,"Weyers Cave,
	                           VA
	                           USA",17258095,N79446,5968.0,United States,49872.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1970,EAA BIPLANE,P1,"Malvern,
	                           AR
	                           USA",101,N4352,656.0,United States,22000.0,upto 1000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1970,MOONEY INTERNATIONAL CORP,M10 CADET,"Daytona Beach,
	                           FL
	                           USA",700028,N9538V,1660.0,United States,34500.0,upto 2000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1970,PIPER AIRCRAFT,ARROW,"Conroe,
	                           TX
	                           USA",28R-31261,N3284R,6600.0,United States,95000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1970,PIPER AIRCRAFT,ARROW II,"Birdsboro,
	                           PA
	                           USA",28R-35695,N29SP,3028.0,United States,62000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1972,CESSNA,177RG,"Sturgis,
	                           MI
	                           USA",177RG0241,N1841Q,6241.0,United States,68900.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1972,CESSNA,185E,"Harrison,
	                           OH
	                           USA",18502015,N550RW,3550.0,United States,390000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Turbine Helicopters,1973,AEROSPATIALE,ALOUETTE III,"Ft. Pierce,
	                           FL
	                           USA",2020,N748GC,4860.0,France,199900.0,upto 10000 hours,upto 250000,Other
Used,USD,Single Engine Piston,1973,CESSNA,182 SKYLANE,"Sidney
	                           
	                           CAN",Not Listed,C-GTSK,3227.0,United States,175000.0,upto 4000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1973,CESSNA,414,"Oxnard,
	                           CA
	                           USA",414-0358,N414RN,6800.0,United States,124900.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1973,PIPER AIRCRAFT,ARROW,"Clearwater,
	                           FL
	                           USA",28R-733525,N55599,6396.0,United States,63900.0,upto 10000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1974,BEECHCRAFT,58 BARON,"Golfview , Walkerville , Johannesburg
	                           
	                           ZAF",TH 495,ZS LYN,21.0,United States,135000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1974,BELLANCA,17-30A SUPER VIKING (1979 AND NEWER),"New Orleans,
	                           LA
	                           USA",74-30679,N147PH,3141.0,United States,75000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1974,CESSNA,172M SKYHAWK,"Laplace,
	                           LA
	                           USA",17263241,N40RG,3225.0,United States,89000.0,upto 4000 hours,upto 100000,USA
Used,USD,Turboprops,1974,MITSUBISHI HEAVY INDUSTRIES,MU 2K,"TN
	                           USA",302,N462MA,7137.0,Japan,299000.0,upto 10000 hours,upto 500000 hours,Other
Used,USD,Multi Engine Piston,1975,BEECHCRAFT,E55 BARON,"Greensboro,
	                           NC
	                           USA",TE-1014,N40BD,4125.0,United States,193000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1975,CESSNA,177B,"Fergus Falls,
	                           MN
	                           USA",17702278,N3523Q,3415.0,United States,108000.0,upto 4000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1975,CESSNA,310R,"Durant,
	                           OK
	                           USA",310R0217,N5097J,3400.0,United States,164500.0,upto 4000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1975,CESSNA,310R,"Cottonwood,
	                           AZ
	                           USA",Not Listed,N310LA,3700.0,United States,199500.0,upto 4000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1975,CESSNA,421B,"Conroe,
	                           TX
	                           USA",421B0877,N770CS,7103.0,United States,169950.0,upto 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1975,CESSNA,421B,"Dallas,
	                           TX
	                           USA",421B0906,N5448J,4898.0,United States,159000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1975,GREAT LAKES,2T-1A-2,"Cambridge,
	                           NY
	                           USA",722,N5ZM,1056.0,United States,85000.0,upto 2000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1976,Piper Aircraft Corporation,601P,"Corpus Christi,
	                           TX
	                           USA",61P-0280-0,N23SS,5450.0,United States,139900.0,upto 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1976,BEECHCRAFT,58P BARON,"Batesville,
	                           MS
	                           USA",Not Listed,N228SC,4640.0,United States,129500.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1976,CESSNA,T210L,"Thermal, CA (KTRM),
	                           CA
	                           USA",21061391,N66CE,4763.0,United States,125000.0,upto 10000 hours,upto 250000,USA
Used,USD,Turboprops,1976,SIAI MARCHETTI,SM1019A,USA,N.C.013,N2068W,1070.0,Italy,226900.0,upto 2000 hours,upto 250000,Other
Used,USD,Multi Engine Piston,1977,Piper Aircraft Corporation,700 SUPERSTAR,"Gulfport,
	                           MS
	                           USA",Not Listed,N778E,4130.0,United States,199000.0,upto 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1977,BEECHCRAFT,B55 BARON,"Conroe,
	                           TX
	                           USA",TC-2052,N628Q,4560.0,United States,259900.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1977,BEECHCRAFT,F33 BONANZA,"Hayti,
	                           MO
	                           USA",CE-704,N17747,2060.0,United States,145000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1977,CESSNA,172N SKYHAWK,"Sidney,
	                           BC
	                           CAN",Not Listed,C-GXF0,6136.0,United States,107000.0,upto 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1977,CESSNA,310R,"Hillsville,
	                           VA
	                           USA",310R0970,N696SC,3023.0,United States,205000.0,upto 4000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1977,CESSNA,340A,Kankakee,340A0353,N912WT,3871.0,United States,219900.0,upto 4000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1977,CESSNA,340A,"Stuart,
	                           FL
	                           USA",340A0266,N4043G,4718.0,United States,109000.0,upto 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1977,CESSNA,421C,"Montgomery,
	                           NY
	                           USA",4210311,N251JL,6125.0,United States,239000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1977,ROCKWELL,112TCA,"Salt Lake City,
	                           UT
	                           USA",13187,N520CA,2563.0,United States,72000.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1977,IAR S.A. BRASOV,IAR-823,"Port St. Lucie,
	                           FL
	                           USA",32,N823PL,1085.0,Romania,94900.0,upto 2000 hours,upto 100000,Other
Used,USD,Multi Engine Piston,1978,Piper Aircraft Corporation,601P,"Gaithersburg,
	                           MD
	                           USA",61P-0545-2,N144SJ,3287.0,United States,165000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1978,CESSNA,172,"Pembroke Pines,
	                           FL
	                           USA",Not Listed,N738FY,6000.0,United States,112000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1978,CESSNA,182RG SKYLANE,"Spring,
	                           TX
	                           USA",R18200336,N4175C,4867.0,United States,108000.0,upto 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1978,CESSNA,340A,"PIEDMONT,
	                           OK
	                           USA",Not Listed,N531M,4063.0,United States,285000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Multi Engine Piston,1978,CESSNA,340A,"Norfolk (KPVG),
	                           VA
	                           USA",340A0532,N4315C,5226.0,United States,259000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Multi Engine Piston,1978,CESSNA,414A,"Midland,
	                           TX
	                           USA",414A-0105,N301CP,5520.0,United States,325000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Multi Engine Piston,1978,PIPER AIRCRAFT,AZTEC F,"Aberdeen,
	                           SD
	                           USA",27-7854110,N63983,12155.0,United States,88500.0,more than 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1978,PIPER AIRCRAFT,TURBO LANCE II,"Kearney,
	                           NE
	                           USA",32R-788706,N36716,3440.0,United States,94900.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1978,PIPER AIRCRAFT,TURBO LANCE II,"Dayton,
	                           TN
	                           USA",32R-788702,N14DW,3550.0,United States,125000.0,upto 4000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1979,Piper Aircraft Corporation,700 SUPERSTAR,"Norfolk,
	                           VA
	                           USA",61P0636796,N52JK,4004.0,United States,195000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1979,AMERICAN CHAMPION,8-KCAB DECATHLON,"TX
	                           USA",510-79,N50451,1548.0,United States,66000.0,upto 2000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,1979,BEECHCRAFT,58P BARON,"MN
	                           USA",TJ-222,N6658Z,5285.0,United States,189000.0,upto 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1979,BEECHCRAFT,B55 BARON,"TX
	                           USA",TC-2235,N2055P,3310.0,United States,179000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1979,CESSNA,172 HAWK XP-R172,"Manning,
	                           AB
	                           CAN",1723043,C-GZCW,6610.0,United States,115000.0,upto 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1979,CESSNA,414A,"Charleston,
	                           SC
	                           USA",414A-0273,N2617N,10647.0,United States,129900.0,more than 10000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,1979,CESSNA,414A,"Torrance,
	                           CA
	                           USA",414A0456,N2734G,5256.0,United States,419000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Turboprops,1979,ROCKWELL,840,"Indianapolis,
	                           IN
	                           USA",Not Listed,N125MM,6970.0,United States,595000.0,upto 10000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,1979,MOONEY INTERNATIONAL CORP,M20J 201,"Allentown,
	                           PA
	                           USA",24-0920,N799EC,6281.0,United States,125000.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1979,PIPER AIRCRAFT,DAKOTA,"melbourne (KMLB),
	                           FL
	                           USA",287921013,N2205Y,2530.0,United States,135000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1980,BEECHCRAFT,A36 BONANZA 36,"McKinney,
	                           TX
	                           USA",E1711,N3675R,6863.0,United States,249900.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1985,CESSNA,T210R,"Bullhed City,
	                           AZ
	                           USA",21064919,N6188U,2692.0,United States,398000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1985,CESSNA,TR182RG SKYLANE,"Palm Harbor,
	                           FL
	                           USA",Not Listed,N6449T,10100.0,United States,117900.0,more than 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1986,CESSNA,T210R,"Westminster,
	                           CO
	                           USA",21064957,N6542U,5970.0,United States,319000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1988,MAULE AIR,MX-7-235,"MN
	                           USA",Not Listed,N6124Q,760.0,United States,112500.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1990,MOONEY INTERNATIONAL CORP,M20M TLS BRAVO,"Fort Myers,
	                           FL
	                           USA",27-0062,N1091A,1925.0,United States,163000.0,upto 2000 hours,upto 250000,USA
Used,USD,Turboprops,1992,SHORT BROTHERS,TUCANO MK1,"Springfield,
	                           IL
	                           USA",Not Listed,N411ZF,1800.0,United Kingdom,1150000.0,upto 2000 hours,upto 2000000,Other
Used,USD,Single Engine Piston,1992,STOLP AIRCRAFT,STARDUSTER ONE SA-100,"Apison,
	                           TN
	                           USA",SA100-01,N290WM,2441.0,United States,13500.0,upto 4000 hours,upto 100000,USA
Used,USD,Single Engine Piston,1996,MOONEY INTERNATIONAL CORP,M20J MSE,"Waco,
	                           TX
	                           USA",24-3384,N9416Q,2200.0,United States,129000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1996,PIPER AIRCRAFT,MALIBU MIRAGE,"Coldwater,
	                           MI
	                           USA",4636043,N92717,3303.0,United States,438000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1997,PIPER AIRCRAFT,MALIBU MIRAGE,"Concord (KCCR),
	                           CA
	                           USA",4636088,N117KR,2915.0,United States,424900.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1998,HARMON,ROCKET II,"Blaine,
	                           MN
	                           USA",1,N42QC,620.0,United States,129000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1998,MOONEY INTERNATIONAL CORP,M20R OVATION,"Granbury,
	                           TX
	                           USA",Not Listed,Not Listed,1204.0,United States,209000.0,upto 2000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1998,PIPER AIRCRAFT,SARATOGA II,"Jupiter,
	                           FL
	                           USA",3257003,N797S,2200.0,United States,269900.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Turboprops,1999,CESSNA,CARAVAN 208 AMPHIBIAN,"South St Paul,
	                           MN
	                           USA",20800309,N309SA,8278.0,United States,1295000.0,upto 10000 hours,upto 2000000,USA
Used,USD,Private Jets,1999,CESSNA,CITATION X,"Peoria (KPIA),
	                           IL
	                           USA",750-0101,N711VJ,4100.0,United States,2150000.0,upto 10000 hours,more than 2000000,USA
Used,USD,Single Engine Piston,1999,PIPER AIRCRAFT,MALIBU MIRAGE,"Kansas City,
	                           MO
	                           USA",4636221,N249FB,2241.0,United States,449000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,1999,PIPER AIRCRAFT,SARATOGA II TC (1998 - 2008),"Sturgis,
	                           MI
	                           USA",3257113,N919SP,2084.0,United States,189500.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,1999,YAKOVLEV,YAK 52W,"Middleburg Hts,
	                           OH
	                           USA",Not Listed,N90GC,470.0,Soviet Union,145000.0,upto 1000 hours,upto 250000,Other
Used,USD,Single Engine Piston,2000,CIRRUS,SR20,"Marietta,
	                           GA
	                           USA",1099,N190CD,2950.0,United States,139900.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2000,LANCAIR,320,"Lacon,
	                           IL
	                           USA",638FB,N21B,845.0,United States,110000.0,upto 1000 hours,upto 250000,USA
Used,USD,Multi Engine Piston,2000,PIPER AIRCRAFT,SENECA V,"Sturgis,
	                           MI
	                           USA",3449180,N687AV,1895.0,United States,370000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Multi Engine Piston,2000,PIPER AIRCRAFT,SENECA V,"Camarillo,
	                           CA
	                           USA",3449174,N35GK,1080.0,United States,394000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2001,PIPER AIRCRAFT,SARATOGA II TC (1998 - 2008),"McAllen,
	                           TX
	                           USA",3257254,N769MR,2065.0,United States,289000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2001,ROBINSON HELICOPTER,R22 BETA II,"Branson,
	                           MO
	                           USA",3236,N7045X,4100.0,United States,95000.0,upto 10000 hours,upto 100000,USA
Used,USD,Single Engine Piston,2002,AMERICAN CHAMPION,7-GCBC,USA,Not Listed,N131SG,838.0,United States,107000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2002,LANCAIR,360,"Santa Barbara,
	                           CA
	                           USA",892-320-732,N360SG,300.0,United States,150000.0,upto 1000 hours,upto 250000,USA
Used,USD,Turboprops,2003,CESSNA,CARAVAN 208,"Baton Rouge,
	                           LA
	                           USA",20800366,N703DC,2893.0,United States,1225000.0,upto 4000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,2003,CESSNA,300,"Calgary
	                           
	                           CAN",Not Listed,C-GWMU,1980.0,United States,167500.0,upto 2000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2003,PIPER AIRCRAFT,ARROW,"Lexington (KLEX),
	                           KY
	                           USA",2844088,N243DW,5610.0,United States,119900.0,upto 10000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2004,AVIAT,HUSKY A-1B,"Sidney
	                           
	                           CAN",Not Listed,Not Listed,650.0,United States,169900.0,upto 1000 hours,upto 250000,USA
Used,USD,Private Jets,2004,BEECHCRAFT,PREMIER I,"Fort Lauderdale
	                           
	                           ZAF",RB-94,ZS-PFE,3037.0,United States,435000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Turboprops,2005,CESSNA,CARAVAN 208B GRAND,"Richmond,
	                           VA
	                           USA",208B1106,N713CB,6700.0,United States,1475000.0,upto 10000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,2005,CIRRUS,SR22-G2 GTS,"Santa Monica,
	                           CA
	                           USA",1506,N700HG,1353.0,United States,255000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2005,PIPER AIRCRAFT,6X/6XT,"Spring,
	                           TX
	                           USA",3232047,N647SE,1453.0,United States,299000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2005,TECNAM,P2002 SIERRA,"Placerville,
	                           CA
	                           USA",128,N128B,810.0,Italy,64500.0,upto 1000 hours,upto 100000,Other
Used,USD,Single Engine Piston,2006,BEECHCRAFT,G36 BONANZA,"Elkhart,
	                           IN
	                           USA",E3698,N6198Z,1900.0,United States,486000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2006,CESSNA,400,"Conroe,
	                           TX
	                           USA",41568,N2535P,1166.0,United States,345000.0,upto 2000 hours,upto 500000 hours,USA
