condition,currency,category,year,make,model,location,s/n,reg,total_hours,national_origin,standard_price,hour,price,country
Used,USD,Multi Engine Piston,2006,DIAMOND AIRCRAFT INDUSTRIES,DA42 TWIN STAR,Newnan,42.AC016,N799DC,5023.0,AUSTRIA,215000.0,upto 10000 hours,upto 250000,Other
Used,USD,Single Engine Piston,2006,FOUND AIRCRAFT CO,FBA-2C,"HAWKESBURY,
	                           ON
	                           CAN",Not Listed,Not Listed,765.0,Canada,395000.0,upto 1000 hours,upto 500000 hours,Other
Used,USD,Private Jets,2006,HAWKER,850XP,"Stuart,
	                           FL
	                           USA",258752,N459JL,7278.0,Britain,2495000.0,upto 10000 hours,more than 2000000,Other
Used,USD,Single Engine Piston,2006,LANCAIR,LEGACY RG,"Port Orange,
	                           FL
	                           USA",L2K-287,N767EM,810.0,United States,200000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2006,LANCAIR,SUPER ES,"Fort Mill,
	                           SC
	                           USA",Not Listed,Not Listed,906.0,United States,215000.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2006,MAULE AIR,M-4-180V,"WA
	                           USA",47008T,N180VV,496.0,United States,102000.0,upto 1000 hours,upto 250000,USA
Used,USD,Turboprops,2006,PIPER AIRCRAFT,MALIBU MERIDIAN,"Lubbock,
	                           TX
	                           USA",4697241,N45FF,1095.0,United States,1049000.0,upto 2000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,2006,PIPER AIRCRAFT,SARATOGA II TC (1998 - 2008),"Ft Lauderdale,
	                           FL
	                           USA",3257434,N614DM,1680.0,United States,349500.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2006,ROBINSON HELICOPTER,R22 BETA II,"St Augustine,
	                           FL
	                           USA",L#524I,L#524I,1418.0,United States,115000.0,upto 2000 hours,upto 250000,USA
Used,USD,Piston Helicopters,2006,ROBINSON HELICOPTER,R44 CLIPPER II,"St Augustine,
	                           FL
	                           USA",L#1264I,L#1264I,2210.0,United States,378000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2006,ROBINSON HELICOPTER,R44 RAVEN I,"Louisburg (KLHZ),
	                           NC
	                           USA",1624,N195SK,3575.0,United States,219900.0,upto 4000 hours,upto 250000,USA
Used,USD,Piston Helicopters,2006,ROBINSON HELICOPTER,R44 RAVEN II,"St Augustine,
	                           FL
	                           USA",L#1236I,L#1236I,2100.0,United States,415000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2006,ROBINSON HELICOPTER,R44 RAVEN II,"St Augustine,
	                           FL
	                           USA",L#1279I,L#1279I,2774.0,United States,389000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Piston Helicopters,2006,ROBINSON HELICOPTER,R44 RAVEN II,"Traverse City,
	                           MI
	                           USA",11134,N242MG,2200.0,United States,435000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2006,SEAWIND LLC,3000,"Warren,
	                           VT
	                           USA",63,N142BW,133.0,United States,175000.0,upto 1000 hours,upto 250000,USA
Used,USD,Turboprops,2006,AYRES,S2RHG-T65,"Hayti,
	                           MO
	                           USA",Not Listed,Not Listed,4194.0,United States,395000.0,upto 10000 hours,upto 500000 hours,USA
Used,USD,Ultralight,2007,3XTRIM AIRCRAFT FACTORY,NAVIGATOR 600,"Phillipsburg,
	                           OH
	                           USA",E61.US,N56PL,620.0,Poland,69900.0,upto 1000 hours,upto 100000,Other
Used,USD,Single Engine Piston,2007,AMERICAN LEGEND,CUB AL3C-100 OPEN COWL,"Danville,
	                           VA
	                           USA",AL-1111,N316TJ,421.0,United States,89000.0,upto 1000 hours,upto 100000,USA
Used,USD,Multi Engine Piston,2007,BEECHCRAFT,58 BARON,"Gordonsville,
	                           VA
	                           USA",TH-2179,N47WK,2275.0,United States,699000.0,upto 4000 hours,upto 1000000 hours,USA
Used,USD,Single Engine Piston,2007,CESSNA,182T SKYLANE,"Lantana,
	                           FL
	                           USA",18281897,N21326,3900.0,United States,214900.0,upto 4000 hours,upto 250000,USA
Used,USD,Turboprops,2007,CESSNA,CARAVAN 208,"Calgary
	                           
	                           CAN",Not Listed,C-GHWT,1533.0,United States,1500000.0,upto 2000 hours,upto 2000000,USA
Used,USD,Private Jets,2007,CESSNA,CITATION MUSTANG,USA,Not Listed,Not Listed,1678.0,United States,1150000.0,upto 2000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,2007,CESSNA,T182T SKYLANE,"Boise,
	                           ID
	                           USA",T18208685,N2164Y,2400.0,United States,259000.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR20-G2 GTS,USA,1863,N150SA,3234.0,United States,175000.0,upto 4000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22 TURBO GTS,"Grants Pass,
	                           OR
	                           USA",2435,N33MW,795.0,United States,319000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22-G3 GTS,"Mooresville,
	                           NC
	                           USA",2643,N434MM,1440.0,United States,299000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22-G3 TURBO GTS,"Waukesha,,
	                           WI
	                           USA",2758,N719ED,1282.0,United States,315000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22-G3 TURBO GTS,"Henderson,
	                           NV
	                           USA",2888,N344A,760.0,United States,335000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22-G3 TURBO GTS,"Henderson,
	                           NV
	                           USA",2660,N171MP,1773.0,United States,299000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22-G3 TURBO GTS,"Las Vegas,
	                           NV
	                           USA",2528,N101GW,530.0,United States,329000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22-G3 TURBO GTS,"Wausau,
	                           WI
	                           USA",2539,N230WJ,880.0,United States,315000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22-G3 TURBO GTS,"Phillipsburg,
	                           OH
	                           USA",2890,N959DR,2600.0,United States,269900.0,upto 4000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CIRRUS,SR22-G3 TURBO GTS,"Roanoke Rapids,
	                           NC
	                           USA",2834,N856SR,1050.0,United States,327000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CESSNA,400,"Greensboro,
	                           NC
	                           USA",41725,N600TX,1025.0,United States,329000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2007,CUBCRAFTERS,CC11-100 SPORT CUB,"Prescott,
	                           AZ
	                           USA",Not Listed,Not Listed,470.0,United States,114900.0,upto 1000 hours,upto 250000,USA
Used,USD,Single Engine Piston,2007,CZECH SPORT AIRCRAFT,SPORTCRUISER,"Knoxville,
	                           TN
	                           USA",07SC071,N855JD,595.0,Czech Republic,75000.0,upto 1000 hours,upto 100000,Other
Used,USD,Multi Engine Piston,2007,DIAMOND AIRCRAFT INDUSTRIES,DA42 TWIN STAR,"Port Orange,
	                           FL
	                           USA",42.AC066,N266DR,5600.0,AUSTRIA,259000.0,upto 10000 hours,upto 500000 hours,Other
Used,USD,Turboprops,2008,BEECHCRAFT,KING AIR C90GTI,"Eden Prairie,
	                           MN
	                           USA",LJ-1871,N20GT,1750.0,United States,1595000.0,upto 2000 hours,upto 2000000,USA
Used,USD,Single Engine Piston,2008,CESSNA,400,"Greensboro
	                           
	                           USA",411057,N554Z,555.0,United States,379000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2008,CESSNA,400,"Greensboro
	                           
	                           USA",411017,N37SR,460.0,United States,389000.0,upto 1000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2008,CESSNA,400,"Locust Grove,
	                           GA
	                           USA",411024,N915ML,1493.0,United States,349000.0,upto 2000 hours,upto 500000 hours,USA
Used,USD,Single Engine Piston,2008,CIRRUS,SR22-G3,"Lawrenceville,
	                           GA
	                           USA",3066,380CP,1650.0,United States,369500.0,upto 2000 hours,upto 500000 hours,USA
